protein,beta,se,t,pvalue,n_nonmiss,adj_p
p1,,,,,120,1.0
p2,,,,,120,1.0
p3,,,,,120,1.0
p4,,,,,120,1.0
p5,,,,,120,1.0
p6,,,,,120,1.0
p7,,,,,120,1.0
p8,,,,,120,1.0
p9,,,,,120,1.0
p10,,,,,120,1.0
p11,,,,,120,1.0
p12,,,,,120,1.0
p13,,,,,120,1.0
p14,,,,,120,1.0
p15,,,,,120,1.0
p16,,,,,120,1.0
p17,,,,,120,1.0
p18,,,,,120,1.0
p19,,,,,120,1.0
p20,,,,,120,1.0
p21,,,,,120,1.0
p22,,,,,120,1.0
p23,,,,,120,1.0
p24,,,,,120,1.0
p25,,,,,120,1.0
p26,,,,,120,1.0
p27,,,,,120,1.0
p28,,,,,120,1.0
p29,,,,,120,1.0
p30,,,,,120,1.0
p31,,,,,120,1.0
p32,,,,,120,1.0
p33,,,,,120,1.0
p34,,,,,120,1.0
p35,,,,,120,1.0
p36,,,,,120,1.0
p37,,,,,120,1.0
p38,,,,,120,1.0
p39,,,,,120,1.0
p40,,,,,120,1.0
p41,,,,,120,1.0
p42,,,,,120,1.0
p43,,,,,120,1.0
p44,,,,,120,1.0
p45,,,,,120,1.0
p46,,,,,120,1.0
p47,,,,,120,1.0
p48,,,,,120,1.0
p49,,,,,120,1.0
p50,,,,,120,1.0
p51,,,,,120,1.0
p52,,,,,120,1.0
p53,,,,,120,1.0
p54,,,,,120,1.0
p55,,,,,120,1.0
p56,,,,,120,1.0
p57,,,,,120,1.0
p58,,,,,120,1.0
p59,,,,,120,1.0
p60,,,,,120,1.0
p61,,,,,120,1.0
p62,,,,,120,1.0
p63,,,,,120,1.0
p64,,,,,120,1.0
p65,,,,,120,1.0
p66,,,,,120,1.0
p67,,,,,120,1.0
p68,,,,,120,1.0
p69,,,,,120,1.0
p70,,,,,120,1.0
p71,,,,,120,1.0
p72,,,,,120,1.0
p73,,,,,120,1.0
p74,,,,,120,1.0
p75,,,,,120,1.0
p76,,,,,120,1.0
p77,,,,,120,1.0
p78,,,,,120,1.0
p79,,,,,120,1.0
p80,,,,,120,1.0
p81,,,,,120,1.0
p82,,,,,120,1.0
p83,,,,,120,1.0
p84,,,,,120,1.0
p85,,,,,120,1.0
p86,,,,,120,1.0
p87,,,,,120,1.0
p88,,,,,120,1.0
p89,,,,,120,1.0
p90,,,,,120,1.0
p91,,,,,120,1.0
p92,,,,,120,1.0
p93,,,,,120,1.0
p94,,,,,120,1.0
p95,,,,,120,1.0
p96,,,,,120,1.0
p97,,,,,120,1.0
p98,,,,,120,1.0
p99,,,,,120,1.0
p100,,,,,120,1.0
p101,,,,,120,1.0
p102,,,,,120,1.0
p103,,,,,120,1.0
p104,,,,,120,1.0
p105,,,,,120,1.0
p106,,,,,120,1.0
p107,,,,,120,1.0
p108,,,,,120,1.0
p109,,,,,120,1.0
p110,,,,,120,1.0
p111,,,,,120,1.0
p112,,,,,120,1.0
p113,,,,,120,1.0
p114,,,,,120,1.0
p115,,,,,120,1.0
p116,,,,,120,1.0
p117,,,,,120,1.0
p118,,,,,120,1.0
p119,,,,,120,1.0
p120,,,,,120,1.0
p121,,,,,120,1.0
p122,,,,,120,1.0
p123,,,,,120,1.0
p124,,,,,120,1.0
p125,,,,,120,1.0
p126,,,,,120,1.0
p127,,,,,120,1.0
p128,,,,,120,1.0
p129,,,,,120,1.0
p130,,,,,120,1.0
p131,,,,,120,1.0
p132,,,,,120,1.0
p133,,,,,120,1.0
p134,,,,,120,1.0
p135,,,,,120,1.0
p136,,,,,120,1.0
p137,,,,,120,1.0
p138,,,,,120,1.0
p139,,,,,120,1.0
p140,,,,,120,1.0
p141,,,,,120,1.0
p142,,,,,120,1.0
p143,,,,,120,1.0
p144,,,,,120,1.0
p145,,,,,120,1.0
p146,,,,,120,1.0
p147,,,,,120,1.0
p148,,,,,120,1.0
p149,,,,,120,1.0
p150,,,,,120,1.0
p151,,,,,120,1.0
p152,,,,,120,1.0
p153,,,,,120,1.0
p154,,,,,120,1.0
p155,,,,,120,1.0
p156,,,,,120,1.0
p157,,,,,120,1.0
p158,,,,,120,1.0
p159,,,,,120,1.0
p160,,,,,120,1.0
p161,,,,,120,1.0
p162,,,,,120,1.0
p163,,,,,120,1.0
p164,,,,,120,1.0
p165,,,,,120,1.0
p166,,,,,120,1.0
p167,,,,,120,1.0
p168,,,,,120,1.0
p169,,,,,120,1.0
p170,,,,,120,1.0
p171,,,,,120,1.0
p172,,,,,120,1.0
p173,,,,,120,1.0
p174,,,,,120,1.0
p175,,,,,120,1.0
p176,,,,,120,1.0
p177,,,,,120,1.0
p178,,,,,120,1.0
p179,,,,,120,1.0
p180,,,,,120,1.0
p181,,,,,120,1.0
p182,,,,,120,1.0
p183,,,,,120,1.0
p184,,,,,120,1.0
p185,,,,,120,1.0
p186,,,,,120,1.0
p187,,,,,120,1.0
p188,,,,,120,1.0
p189,,,,,120,1.0
p190,,,,,120,1.0
p191,,,,,120,1.0
p192,,,,,120,1.0
p193,,,,,120,1.0
p194,,,,,120,1.0
p195,,,,,120,1.0
p196,,,,,120,1.0
p197,,,,,120,1.0
p198,,,,,120,1.0
p199,,,,,120,1.0
p200,,,,,120,1.0
